uniprot,organism,ogt,organism_class,tm,n_datasets
Q6IQI8,Danio rerio,28.0,mesophile,44.44,1
Q6IQJ7,Danio rerio,28.0,mesophile,51.95,1
Q6IQK2,Danio rerio,28.0,mesophile,53.14,1
Q6IQK3,Danio rerio,28.0,mesophile,50.01,1
Q6IQL2,Danio rerio,28.0,mesophile,52.76,1
Q6IQL3,Danio rerio,28.0,mesophile,49.4,1
Q6IQL7,Danio rerio,28.0,mesophile,51.12,1
Q6IQM0,Danio rerio,28.0,mesophile,53.66,1
Q6IQP9,Danio rerio,28.0,mesophile,50.22,1
Q6IQQ0,Danio rerio,28.0,mesophile,46.39,1
Q6IQQ8,Danio rerio,28.0,mesophile,48.38,1
Q6IQR5,Danio rerio,28.0,mesophile,49.26,1
Q6IQR7,Danio rerio,28.0,mesophile,48.83,1
Q6IQS4,Danio rerio,28.0,mesophile,45.55,1
Q6IQS6,Danio rerio,28.0,mesophile,51.74,1
Q6IQS7,Danio rerio,28.0,mesophile,49.46,1
Q6IQT4,Danio rerio,28.0,mesophile,51.05,1
Q6IQU1,Danio rerio,28.0,mesophile,50.92,1
Q6IWL4,Danio rerio,28.0,mesophile,52.82,1
Q6JIZ2,Danio rerio,28.0,mesophile,52.83,1
Q6JWU7,Danio rerio,28.0,mesophile,50.71,1
Q6K197,Danio rerio,28.0,mesophile,50.98,1
Q6NSN4,Danio rerio,28.0,mesophile,51.4,1
Q6NSN6,Danio rerio,28.0,mesophile,50.46,1
Q6NSN9,Danio rerio,28.0,mesophile,47.45,1
Q6NUU7,Danio rerio,28.0,mesophile,51.04,1
Q6NUV5,Danio rerio,28.0,mesophile,51.94,1
Q6NUW5,Danio rerio,28.0,mesophile,53.02,1
Q6NUX5,Danio rerio,28.0,mesophile,54.07,1
Q6NUX6,Danio rerio,28.0,mesophile,50.36,1
Q6NUX7,Danio rerio,28.0,mesophile,46.35,1
Q6NUX8,Danio rerio,28.0,mesophile,49.89,1
Q6NUY0,Danio rerio,28.0,mesophile,45.65,1
Q6NUY9,Danio rerio,28.0,mesophile,51.54,1
Q6NUZ3,Danio rerio,28.0,mesophile,50.8,1
Q6NUZ9,Danio rerio,28.0,mesophile,51.84,1
Q6NV03,Danio rerio,28.0,mesophile,53.39,1
Q6NV15,Danio rerio,28.0,mesophile,44.81,1
Q6NV24,Danio rerio,28.0,mesophile,53.71,1
Q6NV34,Danio rerio,28.0,mesophile,50.85,1
Q6NV39,Danio rerio,28.0,mesophile,50.26,1
Q6NV46,Danio rerio,28.0,mesophile,51.93,1
Q6NVA6,Danio rerio,28.0,mesophile,48.73,1
Q6NVC9,Danio rerio,28.0,mesophile,49.27,1
Q6NVI6,Danio rerio,28.0,mesophile,51.42,1
Q6NW45,Danio rerio,28.0,mesophile,49.01,1
Q6NW62,Danio rerio,28.0,mesophile,49.7,1
Q6NW66,Danio rerio,28.0,mesophile,46.76,1
Q6NW76,Danio rerio,28.0,mesophile,43.94,1
Q6NW90,Danio rerio,28.0,mesophile,47.25,1
Q6NWB8,Danio rerio,28.0,mesophile,53.36,1
Q6NWC3,Danio rerio,28.0,mesophile,45.39,1
Q6NWC6,Danio rerio,28.0,mesophile,56.82,1
Q6NWD2,Danio rerio,28.0,mesophile,52.22,1
Q6NWE0,Danio rerio,28.0,mesophile,53.09,1
Q6NWE8,Danio rerio,28.0,mesophile,54.1,1
Q6NWF6,Danio rerio,28.0,mesophile,52.14,1
Q6NWI0,Danio rerio,28.0,mesophile,48.95,1
Q6NWI5,Danio rerio,28.0,mesophile,51.96,1
Q6NWI6,Danio rerio,28.0,mesophile,51.58,1
Q6NWI8,Danio rerio,28.0,mesophile,51.31,1
Q6NWJ4,Danio rerio,28.0,mesophile,47.79,1
Q6NWJ5,Danio rerio,28.0,mesophile,48.08,1
Q6NWJ8,Danio rerio,28.0,mesophile,51.42,1
Q6NWK3,Danio rerio,28.0,mesophile,58.37,1
Q6NWL4,Danio rerio,28.0,mesophile,50.89,1
Q6NWL6,Danio rerio,28.0,mesophile,49.82,1
Q6NWX4,Danio rerio,28.0,mesophile,50.29,1
Q6NWY0,Danio rerio,28.0,mesophile,47.45,1
Q6NWY1,Danio rerio,28.0,mesophile,49.26,1
Q6NX08,Danio rerio,28.0,mesophile,55.31,1
Q6NX91,Danio rerio,28.0,mesophile,47.97,1
Q6NX98,Danio rerio,28.0,mesophile,51.05,1
Q6NXA3,Danio rerio,28.0,mesophile,56.31,1
Q6NXB9,Danio rerio,28.0,mesophile,49.87,1
Q6NXC1,Danio rerio,28.0,mesophile,46.82,1
Q6NXC7,Danio rerio,28.0,mesophile,48.17,1
Q6NXD1,Danio rerio,28.0,mesophile,54.28,1
Q6NXD2,Danio rerio,28.0,mesophile,54.28,1
Q6NXE0,Danio rerio,28.0,mesophile,51.81,1
Q6NY31,Danio rerio,28.0,mesophile,49.26,1
Q6NY34,Danio rerio,28.0,mesophile,51.55,1
Q6NY36,Danio rerio,28.0,mesophile,53.5,1
Q6NY60,Danio rerio,28.0,mesophile,52.96,1
Q6NY61,Danio rerio,28.0,mesophile,51.01,1
Q6NY64,Danio rerio,28.0,mesophile,52.82,1
Q6NY65,Danio rerio,28.0,mesophile,49.72,1
Q6NY74,Danio rerio,28.0,mesophile,49.6,1
Q6NY78,Danio rerio,28.0,mesophile,52.2,1
Q6NY82,Danio rerio,28.0,mesophile,52.22,1
Q6NY86,Danio rerio,28.0,mesophile,50.73,1
Q6NY87,Danio rerio,28.0,mesophile,50.97,1
Q6NY90,Danio rerio,28.0,mesophile,51.05,1
Q6NY98,Danio rerio,28.0,mesophile,45.74,1
Q6NYD6,Danio rerio,28.0,mesophile,51.18,1
Q6NYE2,Danio rerio,28.0,mesophile,46.69,1
Q6NYE3,Danio rerio,28.0,mesophile,52.49,1
Q6NYF2,Danio rerio,28.0,mesophile,49.01,1
Q6NYF4,Danio rerio,28.0,mesophile,53.3,1
Q6NYG0,Danio rerio,28.0,mesophile,51.66,1
Q6NYG2,Danio rerio,28.0,mesophile,56.87,1
Q6NYG9,Danio rerio,28.0,mesophile,46.8,1
Q6NYI7,Danio rerio,28.0,mesophile,54.66,1
Q6NYJ5,Danio rerio,28.0,mesophile,48.1,1
Q6NYL6,Danio rerio,28.0,mesophile,52.36,1
Q6NYM6,Danio rerio,28.0,mesophile,52.0,1
Q6NYM8,Danio rerio,28.0,mesophile,51.86,1
Q6NYN3,Danio rerio,28.0,mesophile,50.97,1
Q6NYN6,Danio rerio,28.0,mesophile,50.93,1
Q6NYN8,Danio rerio,28.0,mesophile,52.36,1
Q6NYP6,Danio rerio,28.0,mesophile,51.46,1
Q6NYQ3,Danio rerio,28.0,mesophile,49.7,1
Q6NYQ7,Danio rerio,28.0,mesophile,50.57,1
Q6NYS5,Danio rerio,28.0,mesophile,53.31,1
Q6NYT0,Danio rerio,28.0,mesophile,50.05,1
Q6NYV1,Danio rerio,28.0,mesophile,49.34,1
Q6NYV5,Danio rerio,28.0,mesophile,47.75,1
Q6NYV9,Danio rerio,28.0,mesophile,61.15,1
Q6NYX2,Danio rerio,28.0,mesophile,48.29,1
Q6NYX8,Danio rerio,28.0,mesophile,52.65,1
Q6NZ06,Danio rerio,28.0,mesophile,49.74,1
Q6NZ22,Danio rerio,28.0,mesophile,49.05,1
Q6NZ29,Danio rerio,28.0,mesophile,54.45,1
Q6NZS1,Danio rerio,28.0,mesophile,50.42,1
Q6NZS4,Danio rerio,28.0,mesophile,50.17,1
Q6NZT5,Danio rerio,28.0,mesophile,51.59,1
Q6NZV2,Danio rerio,28.0,mesophile,50.0,1
Q6NZW3,Danio rerio,28.0,mesophile,52.18,1
Q6NZW7,Danio rerio,28.0,mesophile,57.49,1
Q6NZW8,Danio rerio,28.0,mesophile,50.37,1
Q6NZZ2,Danio rerio,28.0,mesophile,53.84,1
Q6P020,Danio rerio,28.0,mesophile,47.78,1
Q6P022,Danio rerio,28.0,mesophile,51.77,1
Q6P029,Danio rerio,28.0,mesophile,53.0,1
Q6P043,Danio rerio,28.0,mesophile,59.59,1
Q6P045,Danio rerio,28.0,mesophile,50.22,1
Q6P0B3,Danio rerio,28.0,mesophile,49.67,1
Q6P0C5,Danio rerio,28.0,mesophile,48.02,1
Q6P0D3,Danio rerio,28.0,mesophile,63.8,1
Q6P0D5,Danio rerio,28.0,mesophile,51.32,1
Q6P0D9,Danio rerio,28.0,mesophile,53.56,1
Q6P0G2,Danio rerio,28.0,mesophile,47.36,1
Q6P0H6,Danio rerio,28.0,mesophile,52.15,1
Q6P0I2,Danio rerio,28.0,mesophile,52.18,1
Q6P0R9,Danio rerio,28.0,mesophile,52.58,1
Q6P0T3,Danio rerio,28.0,mesophile,51.77,1
Q6P0U0,Danio rerio,28.0,mesophile,51.29,1
Q6P0U7,Danio rerio,28.0,mesophile,56.91,1
Q6P0V6,Danio rerio,28.0,mesophile,45.73,1
Q6P0V9,Danio rerio,28.0,mesophile,53.34,1
Q6P0Z8,Danio rerio,28.0,mesophile,50.91,1
Q6P111,Danio rerio,28.0,mesophile,51.33,1
Q6P112,Danio rerio,28.0,mesophile,48.92,1
Q6P117,Danio rerio,28.0,mesophile,49.41,1
Q6P2A1,Danio rerio,28.0,mesophile,50.66,1
Q6P2B0,Danio rerio,28.0,mesophile,51.64,1
Q6P2M0,Danio rerio,28.0,mesophile,45.38,1
Q6P2T5,Danio rerio,28.0,mesophile,52.31,1
Q6P2U8,Danio rerio,28.0,mesophile,50.56,1
Q6P2U9,Danio rerio,28.0,mesophile,54.49,1
Q6P2V4,Danio rerio,28.0,mesophile,53.47,1
Q6P3G2,Danio rerio,28.0,mesophile,49.65,1
Q6P3G3,Danio rerio,28.0,mesophile,53.57,1
Q6P3G9,Danio rerio,28.0,mesophile,52.68,1
Q6P3H6,Danio rerio,28.0,mesophile,51.12,1
Q6P3I0,Danio rerio,28.0,mesophile,50.14,1
Q6P3I8,Danio rerio,28.0,mesophile,46.77,1
Q6P3J1,Danio rerio,28.0,mesophile,51.8,1
Q6P3J5,Danio rerio,28.0,mesophile,52.11,1
Q6P3J7,Danio rerio,28.0,mesophile,47.58,1
Q6P3J9,Danio rerio,28.0,mesophile,49.7,1
Q6P3K2,Danio rerio,28.0,mesophile,50.13,1
Q6P3L1,Danio rerio,28.0,mesophile,51.02,1
Q6P3L3,Danio rerio,28.0,mesophile,51.39,1
Q6P403,Danio rerio,28.0,mesophile,47.86,1
Q6P404,Danio rerio,28.0,mesophile,50.86,1
Q6P5L3,Danio rerio,28.0,mesophile,52.05,1
Q6P5L7,Danio rerio,28.0,mesophile,56.77,1
Q6P5M3,Danio rerio,28.0,mesophile,45.14,1
Q6P607,Danio rerio,28.0,mesophile,50.65,1
Q6P6E4,Danio rerio,28.0,mesophile,63.76,1
Q6P6E7,Danio rerio,28.0,mesophile,47.59,1
Q6P6F0,Danio rerio,28.0,mesophile,46.25,1
Q6P6Y0,Danio rerio,28.0,mesophile,52.27,1
Q6P7E4,Danio rerio,28.0,mesophile,50.7,1
Q6P7X5,Danio rerio,28.0,mesophile,54.14,1
Q6P7X6,Danio rerio,28.0,mesophile,52.65,1
Q6P935,Danio rerio,28.0,mesophile,49.11,1
Q6P943,Danio rerio,28.0,mesophile,51.22,1
Q6P945,Danio rerio,28.0,mesophile,47.16,1
Q6P948,Danio rerio,28.0,mesophile,47.44,1
Q6P963,Danio rerio,28.0,mesophile,48.31,1
Q6P971,Danio rerio,28.0,mesophile,52.05,1
Q6P9P2,Danio rerio,28.0,mesophile,49.36,1
Q6P9P3,Danio rerio,28.0,mesophile,50.0,1
Q6P9Z2,Danio rerio,28.0,mesophile,48.69,1
Q6PBA2,Danio rerio,28.0,mesophile,52.72,1
Q6PBA5,Danio rerio,28.0,mesophile,54.93,1
Q6PBB2,Danio rerio,28.0,mesophile,51.1,1
Q6PBH6,Danio rerio,28.0,mesophile,44.4,1
Q6PBI0,Danio rerio,28.0,mesophile,49.08,1
Q6PBK9,Danio rerio,28.0,mesophile,52.88,1
Q6PBL4,Danio rerio,28.0,mesophile,51.72,1
Q6PBM7,Danio rerio,28.0,mesophile,54.88,1
Q6PBP1,Danio rerio,28.0,mesophile,48.93,1
Q6PBP2,Danio rerio,28.0,mesophile,51.47,1
Q6PBR5,Danio rerio,28.0,mesophile,56.53,1
Q6PBS7,Danio rerio,28.0,mesophile,54.35,1
Q6PBS9,Danio rerio,28.0,mesophile,49.41,1
Q6PBT0,Danio rerio,28.0,mesophile,52.69,1
Q6PBT1,Danio rerio,28.0,mesophile,46.58,1
Q6PBU4,Danio rerio,28.0,mesophile,51.19,1
Q6PBU7,Danio rerio,28.0,mesophile,52.74,1
Q6PBV6,Danio rerio,28.0,mesophile,50.82,1
Q6PBW3,Danio rerio,28.0,mesophile,46.52,1
Q6PBW6,Danio rerio,28.0,mesophile,50.99,1
Q6PBW7,Danio rerio,28.0,mesophile,46.14,1
Q6PBW9,Danio rerio,28.0,mesophile,52.52,1
Q6PBX1,Danio rerio,28.0,mesophile,54.01,1
Q6PBX2,Danio rerio,28.0,mesophile,48.3,1
Q6PBX6,Danio rerio,28.0,mesophile,55.01,1
Q6PBX8,Danio rerio,28.0,mesophile,55.53,1
Q6PBY1,Danio rerio,28.0,mesophile,44.93,1
Q6PBY4,Danio rerio,28.0,mesophile,56.11,1
Q6PBY9,Danio rerio,28.0,mesophile,53.12,1
Q6PBZ1,Danio rerio,28.0,mesophile,48.21,1
Q6PBZ2,Danio rerio,28.0,mesophile,48.36,1
Q6PC06,Danio rerio,28.0,mesophile,51.95,1
Q6PC12,Danio rerio,28.0,mesophile,51.29,1
Q6PC14,Danio rerio,28.0,mesophile,48.39,1
Q6PC18,Danio rerio,28.0,mesophile,47.99,1
Q6PC19,Danio rerio,28.0,mesophile,51.33,1
Q6PC30,Danio rerio,28.0,mesophile,51.92,1
Q6PC34,Danio rerio,28.0,mesophile,53.09,1
Q6PC41,Danio rerio,28.0,mesophile,51.23,1
Q6PC48,Danio rerio,28.0,mesophile,46.07,1
Q6PC62,Danio rerio,28.0,mesophile,52.83,1
Q6PC69,Danio rerio,28.0,mesophile,48.89,1
Q6PC82,Danio rerio,28.0,mesophile,54.46,1
Q6PC89,Danio rerio,28.0,mesophile,51.54,1
Q6PC90,Danio rerio,28.0,mesophile,51.41,1
Q6PCA0,Danio rerio,28.0,mesophile,49.89,1
Q6PCR1,Danio rerio,28.0,mesophile,53.33,1
Q6PCR4,Danio rerio,28.0,mesophile,52.67,1
Q6PCR7,Danio rerio,28.0,mesophile,47.53,1
Q6PD83,Danio rerio,28.0,mesophile,53.03,1
Q6PD85,Danio rerio,28.0,mesophile,48.97,1
Q6PE18,Danio rerio,28.0,mesophile,52.92,1
Q6PE23,Danio rerio,28.0,mesophile,51.16,1
Q6PE34,Danio rerio,28.0,mesophile,47.92,1
Q6PEG8,Danio rerio,28.0,mesophile,55.63,1
Q6PEH0,Danio rerio,28.0,mesophile,52.31,1
Q6PEH2,Danio rerio,28.0,mesophile,51.3,1
Q6PEH4,Danio rerio,28.0,mesophile,48.36,1
Q6PEH5,Danio rerio,28.0,mesophile,51.93,1
Q6PEI4,Danio rerio,28.0,mesophile,51.3,1
Q6PEI6,Danio rerio,28.0,mesophile,51.43,1
Q6PEI8,Danio rerio,28.0,mesophile,54.93,1
Q6PEI9,Danio rerio,28.0,mesophile,50.7,1
Q6PEJ2,Danio rerio,28.0,mesophile,48.4,1
Q6PFJ4,Danio rerio,28.0,mesophile,51.28,1
Q6PFK2,Danio rerio,28.0,mesophile,49.4,1
Q6PFK5,Danio rerio,28.0,mesophile,51.57,1
Q6PFK6,Danio rerio,28.0,mesophile,51.94,1
Q6PFK8,Danio rerio,28.0,mesophile,49.96,1
Q6PFL9,Danio rerio,28.0,mesophile,52.94,1
Q6PFM0,Danio rerio,28.0,mesophile,48.15,1
Q6PFM6,Danio rerio,28.0,mesophile,53.94,1
Q6PFM8,Danio rerio,28.0,mesophile,50.52,1
Q6PFN0,Danio rerio,28.0,mesophile,47.11,1
Q6PFN7,Danio rerio,28.0,mesophile,50.76,1
Q6PFN9,Danio rerio,28.0,mesophile,50.61,1
Q6PFQ4,Danio rerio,28.0,mesophile,46.62,1
Q6PFQ5,Danio rerio,28.0,mesophile,44.04,1
Q6PFS7,Danio rerio,28.0,mesophile,50.59,1
Q6PFT1,Danio rerio,28.0,mesophile,55.56,1
Q6PFU4,Danio rerio,28.0,mesophile,51.76,1
Q6PG34,Danio rerio,28.0,mesophile,47.83,1
Q6PGU1,Danio rerio,28.0,mesophile,52.75,1
Q6PGU9,Danio rerio,28.0,mesophile,51.98,1
Q6PGV0,Danio rerio,28.0,mesophile,52.74,1
Q6PGV9,Danio rerio,28.0,mesophile,49.98,1
Q6PGX4,Danio rerio,28.0,mesophile,50.48,1
Q6PGY0,Danio rerio,28.0,mesophile,51.26,1
Q6PGY7,Danio rerio,28.0,mesophile,51.4,1
Q6PGY8,Danio rerio,28.0,mesophile,49.68,1
Q6PH06,Danio rerio,28.0,mesophile,51.4,1
Q6PH25,Danio rerio,28.0,mesophile,53.67,1
Q6PH34,Danio rerio,28.0,mesophile,49.6,1
Q6PH45,Danio rerio,28.0,mesophile,48.14,1
Q6PH46,Danio rerio,28.0,mesophile,50.93,1
Q6PH47,Danio rerio,28.0,mesophile,53.19,1
Q6PH51,Danio rerio,28.0,mesophile,52.47,1
Q6PH54,Danio rerio,28.0,mesophile,51.24,1
Q6PH55,Danio rerio,28.0,mesophile,45.82,1
Q6PH56,Danio rerio,28.0,mesophile,50.4,1
Q6PHD6,Danio rerio,28.0,mesophile,48.61,1
Q6PHD7,Danio rerio,28.0,mesophile,51.84,1
Q6PHD8,Danio rerio,28.0,mesophile,48.69,1
Q6PHE7,Danio rerio,28.0,mesophile,49.53,1
Q6PHF0,Danio rerio,28.0,mesophile,62.45,1
Q6PHF1,Danio rerio,28.0,mesophile,57.96,1
Q6PHF9,Danio rerio,28.0,mesophile,48.8,1
Q6PHH4,Danio rerio,28.0,mesophile,50.69,1
Q6PHI6,Danio rerio,28.0,mesophile,55.7,1
Q6PHI8,Danio rerio,28.0,mesophile,50.91,1
Q6PHJ0,Danio rerio,28.0,mesophile,49.39,1
Q6PHJ4,Danio rerio,28.0,mesophile,50.81,1
Q6PHJ8,Danio rerio,28.0,mesophile,48.17,1
Q6PHK6,Danio rerio,28.0,mesophile,51.56,1
Q6PHK7,Danio rerio,28.0,mesophile,49.21,1
Q6PHU9,Danio rerio,28.0,mesophile,51.91,1
Q6PI45,Danio rerio,28.0,mesophile,51.29,1
Q6PUQ3,Danio rerio,28.0,mesophile,53.0,1
Q6PUS4,Danio rerio,28.0,mesophile,50.3,1
Q6PW01,Danio rerio,28.0,mesophile,49.89,1
Q6PYX3,Danio rerio,28.0,mesophile,43.23,1
Q6Q413,Danio rerio,28.0,mesophile,48.58,1
Q6Q415,Danio rerio,28.0,mesophile,47.05,1
Q6Q417,Danio rerio,28.0,mesophile,45.02,1
Q6Q419,Danio rerio,28.0,mesophile,48.54,1
Q6Q420,Danio rerio,28.0,mesophile,46.15,1
Q6Q421,Danio rerio,28.0,mesophile,45.16,1
Q6RFG0,Danio rerio,28.0,mesophile,53.65,1
Q6T5C3,Danio rerio,28.0,mesophile,51.01,1
Q6TEL5,Danio rerio,28.0,mesophile,52.2,1
Q6TEM3,Danio rerio,28.0,mesophile,55.96,1
Q6TEN7,Danio rerio,28.0,mesophile,47.51,1
Q6TEP1,Danio rerio,28.0,mesophile,52.18,1
Q6TEQ5,Danio rerio,28.0,mesophile,49.34,1
Q6TGN4,Danio rerio,28.0,mesophile,48.74,1
Q6TGT0,Danio rerio,28.0,mesophile,48.26,1
Q6TGT9,Danio rerio,28.0,mesophile,51.77,1
Q6TGU1,Danio rerio,28.0,mesophile,50.12,1
Q6TGU6,Danio rerio,28.0,mesophile,51.84,1
Q6TGV2,Danio rerio,28.0,mesophile,51.73,1
Q6TGV5,Danio rerio,28.0,mesophile,47.39,1
Q6TGV6,Danio rerio,28.0,mesophile,52.64,1
Q6TGV8,Danio rerio,28.0,mesophile,48.32,1
Q6TGX3,Danio rerio,28.0,mesophile,52.51,1
Q6TGY7,Danio rerio,28.0,mesophile,52.59,1
Q6TGZ7,Danio rerio,28.0,mesophile,51.0,1
Q6TGZ9,Danio rerio,28.0,mesophile,50.23,1
Q6TH01,Danio rerio,28.0,mesophile,53.14,1
Q6TH14,Danio rerio,28.0,mesophile,52.22,1
Q6TH15,Danio rerio,28.0,mesophile,47.57,1
Q6TH20,Danio rerio,28.0,mesophile,46.84,1
Q6TH22,Danio rerio,28.0,mesophile,51.92,1
Q6TH50,Danio rerio,28.0,mesophile,56.96,1
Q6TLD7,Danio rerio,28.0,mesophile,49.28,1
Q6TLE5,Danio rerio,28.0,mesophile,51.01,1
Q6TLE7,Danio rerio,28.0,mesophile,50.99,1
Q6TLF6,Danio rerio,28.0,mesophile,53.71,1
Q6TLG8,Danio rerio,28.0,mesophile,44.8,1
Q6TNP4,Danio rerio,28.0,mesophile,49.14,1
Q6TNP9,Danio rerio,28.0,mesophile,47.51,1
Q6TNQ4,Danio rerio,28.0,mesophile,52.4,1
Q6TNR6,Danio rerio,28.0,mesophile,51.13,1
Q6TNR8,Danio rerio,28.0,mesophile,53.96,1
Q6TNS1,Danio rerio,28.0,mesophile,49.26,1
Q6TNS2,Danio rerio,28.0,mesophile,50.9,1
Q6TNS5,Danio rerio,28.0,mesophile,52.43,1
Q6TNT2,Danio rerio,28.0,mesophile,51.36,1
Q6TNT8,Danio rerio,28.0,mesophile,50.24,1
Q6TNT9,Danio rerio,28.0,mesophile,52.23,1
Q6TNU4,Danio rerio,28.0,mesophile,49.04,1
Q6TNV6,Danio rerio,28.0,mesophile,49.2,1
Q6TNV9,Danio rerio,28.0,mesophile,51.47,1
Q6U1J4,Danio rerio,28.0,mesophile,50.19,1
Q6UV33,Danio rerio,28.0,mesophile,50.9,1
Q6W5B1,Danio rerio,28.0,mesophile,51.8,1
Q6WAS6,Danio rerio,28.0,mesophile,46.96,1
Q6Y8G7,Danio rerio,28.0,mesophile,49.47,1
Q6YBS2,Danio rerio,28.0,mesophile,51.6,1
Q6YMR2,Danio rerio,28.0,mesophile,63.01,1
Q6ZM08,Danio rerio,28.0,mesophile,49.78,1
Q6ZM19,Danio rerio,28.0,mesophile,51.71,1
Q6ZM50,Danio rerio,28.0,mesophile,51.72,1
Q6ZM52,Danio rerio,28.0,mesophile,46.92,1
Q6ZM61,Danio rerio,28.0,mesophile,51.4,1
Q6ZM62,Danio rerio,28.0,mesophile,52.77,1
Q6ZM76,Danio rerio,28.0,mesophile,47.43,1
Q6ZM78,Danio rerio,28.0,mesophile,59.92,1
Q70AK4,Danio rerio,28.0,mesophile,51.27,1
Q78AP9,Danio rerio,28.0,mesophile,58.66,1
Q7SX94,Danio rerio,28.0,mesophile,52.93,1
Q7SX98,Danio rerio,28.0,mesophile,51.61,1
Q7SXA1,Danio rerio,28.0,mesophile,45.6,1
Q7SXE8,Danio rerio,28.0,mesophile,46.63,1
Q7SXH5,Danio rerio,28.0,mesophile,52.47,1
Q7SXI7,Danio rerio,28.0,mesophile,53.59,1
Q7SXI9,Danio rerio,28.0,mesophile,44.07,1
Q7SXJ3,Danio rerio,28.0,mesophile,49.42,1
Q7SXJ9,Danio rerio,28.0,mesophile,51.31,1
Q7SXM2,Danio rerio,28.0,mesophile,52.79,1
Q7SXN1,Danio rerio,28.0,mesophile,53.38,1
Q7SXN2,Danio rerio,28.0,mesophile,56.82,1
Q7SXN5,Danio rerio,28.0,mesophile,44.83,1
Q7SXN6,Danio rerio,28.0,mesophile,56.54,1
Q7SXP4,Danio rerio,28.0,mesophile,63.82,1
Q7SXR3,Danio rerio,28.0,mesophile,51.48,1
Q7SXS5,Danio rerio,28.0,mesophile,51.31,1
Q7SXS9,Danio rerio,28.0,mesophile,47.32,1
Q7SXT5,Danio rerio,28.0,mesophile,52.27,1
Q7SXT9,Danio rerio,28.0,mesophile,52.24,1
Q7SXU9,Danio rerio,28.0,mesophile,52.28,1
Q7SXV5,Danio rerio,28.0,mesophile,49.61,1
Q7SXW1,Danio rerio,28.0,mesophile,52.57,1
Q7SXW7,Danio rerio,28.0,mesophile,53.47,1
Q7SXW8,Danio rerio,28.0,mesophile,49.42,1
Q7SXY6,Danio rerio,28.0,mesophile,44.4,1
Q7SXZ7,Danio rerio,28.0,mesophile,48.75,1
Q7SY20,Danio rerio,28.0,mesophile,52.48,1
Q7SY38,Danio rerio,28.0,mesophile,51.88,1
Q7SY46,Danio rerio,28.0,mesophile,51.24,1
Q7SY59,Danio rerio,28.0,mesophile,49.2,1
Q7SYB2,Danio rerio,28.0,mesophile,49.64,1
Q7SYB4,Danio rerio,28.0,mesophile,56.37,1
Q7SYB6,Danio rerio,28.0,mesophile,49.44,1
Q7SYD0,Danio rerio,28.0,mesophile,48.91,1
Q7SYD1,Danio rerio,28.0,mesophile,54.37,1
Q7SYE1,Danio rerio,28.0,mesophile,43.33,1
Q7SYE2,Danio rerio,28.0,mesophile,56.32,1
Q7SYK6,Danio rerio,28.0,mesophile,53.16,1
Q7SYK7,Danio rerio,28.0,mesophile,51.59,1
Q7SYM0,Danio rerio,28.0,mesophile,47.46,1
Q7SYM1,Danio rerio,28.0,mesophile,47.96,1
Q7SYN1,Danio rerio,28.0,mesophile,50.56,1
Q7SZ50,Danio rerio,28.0,mesophile,45.64,1
Q7SZ55,Danio rerio,28.0,mesophile,50.6,1
Q7SZC2,Danio rerio,28.0,mesophile,51.61,1
Q7SZE8,Danio rerio,28.0,mesophile,52.7,1
Q7SZE9,Danio rerio,28.0,mesophile,49.43,1
Q7SZF2,Danio rerio,28.0,mesophile,50.88,1
Q7SZM5,Danio rerio,28.0,mesophile,50.57,1
Q7SZN7,Danio rerio,28.0,mesophile,57.33,1
Q7SZN8,Danio rerio,28.0,mesophile,56.23,1
Q7SZP7,Danio rerio,28.0,mesophile,50.39,1
Q7SZQ6,Danio rerio,28.0,mesophile,51.08,1
Q7SZR4,Danio rerio,28.0,mesophile,55.09,1
Q7SZR8,Danio rerio,28.0,mesophile,46.49,1
Q7SZS0,Danio rerio,28.0,mesophile,50.19,1
Q7SZX6,Danio rerio,28.0,mesophile,48.82,1
Q7SZX8,Danio rerio,28.0,mesophile,52.42,1
Q7SZX9,Danio rerio,28.0,mesophile,47.4,1
Q7SZY1,Danio rerio,28.0,mesophile,49.56,1
Q7T034,Danio rerio,28.0,mesophile,52.35,1
Q7T134,Danio rerio,28.0,mesophile,50.93,1
Q7T156,Danio rerio,28.0,mesophile,50.83,1
Q7T1C5,Danio rerio,28.0,mesophile,46.29,1
Q7T1D8,Danio rerio,28.0,mesophile,52.43,1
Q7T1D9,Danio rerio,28.0,mesophile,51.75,1
Q7T1J9,Danio rerio,28.0,mesophile,46.68,1
Q7T1K0,Danio rerio,28.0,mesophile,45.28,1
Q7T2A5,Danio rerio,28.0,mesophile,50.56,1
Q7T2A6,Danio rerio,28.0,mesophile,48.76,1
Q7T2A8,Danio rerio,28.0,mesophile,52.2,1
Q7T2C1,Danio rerio,28.0,mesophile,48.58,1
Q7T2C2,Danio rerio,28.0,mesophile,51.31,1
Q7T2C6,Danio rerio,28.0,mesophile,53.17,1
Q7T2C8,Danio rerio,28.0,mesophile,46.17,1
Q7T2C9,Danio rerio,28.0,mesophile,48.3,1
Q7T2D2,Danio rerio,28.0,mesophile,51.9,1
Q7T2E1,Danio rerio,28.0,mesophile,52.25,1
Q7T2E5,Danio rerio,28.0,mesophile,47.76,1
Q7T2E6,Danio rerio,28.0,mesophile,47.88,1
Q7T2E8,Danio rerio,28.0,mesophile,48.79,1
Q7T2F2,Danio rerio,28.0,mesophile,50.9,1
